id1,id2
FOODON_03317356,FOODON_00002022
FOODON_03301672,FOODON_00002022
FOODON_03302449,FOODON_00001673
FOODON_03302507,FOODON_00001673
FOODON_03302709,FOODON_00001673
FOODON_03302874,FOODON_00001673
FOODON_03303711,FOODON_00001673
FOODON_03304469,FOODON_00001673
FOODON_03306205,FOODON_00001673
FOODON_03306210,FOODON_00001673
FOODON_03306259,FOODON_00001673
FOODON_03309576,FOODON_00001673
FOODON_03311219,FOODON_00001673
FOODON_03311261,FOODON_00001673
FOODON_03315520,FOODON_00001673
FOODON_03316334,FOODON_00001673
FOODON_00002022,FOODON_00001673
FOODON_03302576,FOODON_03316271
FOODON_03304297,FOODON_03316271
FOODON_03304299,FOODON_03316271
FOODON_03304302,FOODON_03316271
FOODON_03307056,FOODON_03316271
FOODON_03307557,FOODON_03316271
FOODON_03307558,FOODON_03316271
FOODON_03307560,FOODON_03316271
FOODON_03316409,FOODON_03316271
FOODON_03316445,FOODON_03316271
FOODON_03316448,FOODON_03316271
FOODON_03316757,FOODON_03316271
FOODON_03317200,FOODON_03316271
FOODON_03460360,FOODON_03316271
FOODON_00002293,FOODON_03316271
FOODON_03307345,FOODON_03316271
FOODON_03316296,FOODON_03316271
FOODON_00002292,FOODON_03316271
FOODON_00002288,FOODON_03316271
1756,FOODON_03316271
FOODON_03302579,FOODON_00001791
FOODON_03302772,FOODON_00001791
FOODON_03302784,FOODON_00001791
FOODON_03303905,FOODON_00001791
FOODON_03304474,FOODON_00001791
FOODON_03305266,FOODON_00001791
FOODON_03305282,FOODON_00001791
FOODON_03305409,FOODON_00001791
FOODON_03305410,FOODON_00001791
FOODON_03309369,FOODON_00001791
FOODON_03310567,FOODON_00001791
FOODON_03315566,FOODON_00001791
FOODON_03315567,FOODON_00001791
FOODON_03315842,FOODON_00001791
FOODON_03315843,FOODON_00001791
FOODON_03316089,FOODON_00001791
FOODON_03316923,FOODON_00001791
FOODON_03317261,FOODON_00001791
FOODON_03317651,FOODON_00001791
FOODON_03305131,FOODON_00001791
FOODON_03302716,FOODON_00002027
FOODON_03309397,FOODON_00002027
FOODON_03311357,FOODON_00002027
FOODON_03315776,FOODON_00002027
FOODON_03316107,FOODON_00002027
FOODON_00002170,FOODON_00002027
FOODON_00002129,FOODON_00002027
FOODON_03302724,FOODON_00002315
FOODON_03304583,FOODON_00002315
FOODON_03305084,FOODON_00002315
FOODON_03307235,FOODON_00002315
FOODON_03317544,FOODON_00002315
FOODON_03301460,FOODON_00002315
FOODON_03302789,FOODON_03301460
FOODON_03302794,FOODON_03301460
FOODON_03304146,FOODON_03301460
FOODON_03304424,FOODON_03301460
FOODON_03305106,FOODON_03301460
FOODON_03306533,FOODON_03301460
FOODON_03309795,FOODON_03301460
FOODON_03315295,FOODON_03301460
FOODON_03302910,FOODON_00001712
FOODON_03303637,FOODON_00001712
FOODON_03303869,FOODON_00001712
FOODON_03304603,FOODON_00001712
FOODON_03306974,FOODON_00001712
FOODON_03307276,FOODON_00001712
FOODON_03307484,FOODON_00001712
FOODON_03315063,FOODON_00001712
FOODON_03316931,FOODON_00001712
FOODON_03317474,FOODON_00001712
FOODON_03317492,FOODON_00001712
FOODON_03303903,FOODON_00001712
FOODON_00001773,FOODON_00001712
FOODON_03302915,FOODON_00001773
FOODON_03302983,FOODON_00001773
FOODON_03303000,FOODON_00001773
FOODON_03303545,FOODON_00001773
FOODON_03303549,FOODON_00001773
FOODON_03303584,FOODON_00001773
FOODON_03305730,FOODON_00001773
FOODON_03307495,FOODON_00001773
FOODON_03302927,FOODON_00003290
FOODON_03306181,FOODON_00003290
FOODON_03307094,FOODON_00003290
FOODON_03315135,FOODON_00003290
FOODON_03306076,FOODON_00003290
FOODON_03303204,FOODON_00001848
FOODON_03309794,FOODON_00001848
FOODON_03311362,FOODON_00001848
FOODON_03316410,FOODON_00001848
FOODON_03316697,FOODON_00001848
FOODON_03316755,FOODON_00001848
FOODON_03316756,FOODON_00001848
1757,FOODON_00001848
315,FOODON_00001848
1771,FOODON_00001848
1161,FOODON_00001848
1829,FOODON_00001848
1889,FOODON_00001848
1784,FOODON_00001848
2172,FOODON_00001848
FOODON_03303447,FOODON_00002263
FOODON_03304032,FOODON_00002263
FOODON_03306669,FOODON_00002263
FOODON_03303510,FOODON_00002146
FOODON_03303887,FOODON_00002146
FOODON_03304017,FOODON_00002146
FOODON_03304634,FOODON_00002146
FOODON_03304710,FOODON_00002146
FOODON_03304711,FOODON_00002146
FOODON_03304712,FOODON_00002146
FOODON_03304713,FOODON_00002146
FOODON_03304714,FOODON_00002146
FOODON_03304715,FOODON_00002146
FOODON_03304716,FOODON_00002146
FOODON_03304717,FOODON_00002146
FOODON_03305072,FOODON_00002146
FOODON_03305209,FOODON_00002146
FOODON_03305250,FOODON_00002146
FOODON_03305251,FOODON_00002146
FOODON_03305493,FOODON_00002146
FOODON_03306409,FOODON_00002146
FOODON_03306668,FOODON_00002146
FOODON_03306670,FOODON_00002146
FOODON_03307697,FOODON_00002146
FOODON_03307699,FOODON_00002146
FOODON_03307700,FOODON_00002146
FOODON_03307701,FOODON_00002146
FOODON_03307706,FOODON_00002146
FOODON_03309558,FOODON_00002146
FOODON_03310485,FOODON_00002146
FOODON_03315694,FOODON_00002146
FOODON_00002263,FOODON_00002146
FOODON_03301903,FOODON_00002146
FOODON_00001290,FOODON_00002146
FOODON_03303555,FOODON_00001630
FOODON_03303822,FOODON_00001630
FOODON_03310882,FOODON_00001630
FOODON_03303830,FOODON_03310619
FOODON_03305761,FOODON_03310619
FOODON_03306638,FOODON_03310619
FOODON_03303831,FOODON_00002034
FOODON_03304377,FOODON_00002034
FOODON_03304398,FOODON_00002034
FOODON_03304695,FOODON_00002034
FOODON_03305698,FOODON_00002034
FOODON_03307378,FOODON_00002034
FOODON_03307379,FOODON_00002034
FOODON_03311494,FOODON_00002034
FOODON_03316152,FOODON_00002034
FOODON_03305408,FOODON_00002034
FOODON_03305696,FOODON_00002034
FOODON_00003006,FOODON_00002034
FOODON_03303845,FOODON_00003006
FOODON_03307459,FOODON_00003006
FOODON_03307486,FOODON_00003006
FOODON_03307488,FOODON_00003006
FOODON_03303910,FOODON_03305696
FOODON_03307493,FOODON_03305696
FOODON_03304110,FOODON_00002052
FOODON_03304650,FOODON_00002052
FOODON_03305349,FOODON_00002052
FOODON_03306356,FOODON_00002052
FOODON_03306361,FOODON_00002052
FOODON_03317504,FOODON_00002052
FOODON_03301186,FOODON_00002052
FOODON_03304111,FOODON_00002262
FOODON_03310255,FOODON_00002262
100,FOODON_00002262
FOODON_03304112,FOODON_03316522
FOODON_03305814,FOODON_03316522
FOODON_03309474,FOODON_03316522
FOODON_03304147,FOODON_03301903
FOODON_03304423,FOODON_03301903
FOODON_03304582,FOODON_03301903
FOODON_03304720,FOODON_03301903
FOODON_03307698,FOODON_03301903
FOODON_03304153,FOODON_00002032
FOODON_03304468,FOODON_00002032
FOODON_03307489,FOODON_00002032
FOODON_03315191,FOODON_00002032
FOODON_03316927,FOODON_00002032
FOODON_03310619,FOODON_00002032
FOODON_00002034,FOODON_00002032
FOODON_00001962,FOODON_00002032
FOODON_03304296,FOODON_00002288
FOODON_03317362,FOODON_00002288
FOODON_03317367,FOODON_00002288
366,FOODON_00002288
970,FOODON_00002288
FOODON_03304344,FOODON_00003395
FOODON_03315368,FOODON_00003395
FOODON_00002829,FOODON_00003395
FOODON_03304758,FOODON_00003395
FOODON_03304387,FOODON_03301019
FOODON_03304425,FOODON_00001234
FOODON_03304581,FOODON_00001234
FOODON_03306136,FOODON_00001234
FOODON_03306410,FOODON_00001234
FOODON_03310663,FOODON_00001234
FOODON_03311842,FOODON_00001234
FOODON_03311843,FOODON_00001234
747,FOODON_00001234
746,FOODON_00001234
1010,FOODON_00001234
FOODON_03304443,FOODON_00003285
FOODON_03307965,FOODON_00003285
FOODON_03308142,FOODON_00003285
FOODON_03308361,FOODON_00003285
FOODON_03308493,FOODON_00003285
FOODON_03308735,FOODON_00003285
FOODON_03308813,FOODON_00003285
FOODON_03304501,FOODON_00001829
FOODON_03305036,FOODON_00001829
FOODON_03315738,FOODON_00001829
FOODON_03316423,FOODON_00001829
FOODON_00001829,FOODON_00001829
FOODON_03304565,FOODON_00002293
FOODON_03310433,FOODON_00002293
FOODON_03304584,FOODON_00002849
FOODON_03304609,FOODON_00001962
FOODON_03304965,FOODON_00001962
FOODON_03304984,FOODON_00001962
FOODON_03305424,FOODON_00001962
FOODON_03305425,FOODON_00001962
FOODON_03305470,FOODON_00001962
FOODON_03305647,FOODON_00001962
FOODON_03305649,FOODON_00001962
FOODON_03305652,FOODON_00001962
FOODON_03305665,FOODON_00001962
FOODON_03305666,FOODON_00001962
FOODON_03305796,FOODON_00001962
FOODON_03307000,FOODON_00001962
FOODON_03310665,FOODON_00001962
FOODON_03310983,FOODON_00001962
FOODON_03304649,FOODON_00001794
977,FOODON_00001794
540,FOODON_00001794
306,FOODON_00001794
383,FOODON_00001794
381,FOODON_00001794
1398,FOODON_00001794
108,FOODON_00001794
1046,FOODON_00001794
1588,FOODON_00001794
1219,FOODON_00001794
FOODON_03304698,FOODON_03305408
FOODON_03315427,FOODON_03305408
FOODON_03305033,FOODON_03305541
FOODON_03305261,FOODON_03305131
FOODON_03305538,FOODON_00001083
FOODON_03305867,FOODON_00001083
FOODON_03305876,FOODON_00001083
FOODON_03305887,FOODON_00001083
FOODON_03305894,FOODON_00001083
FOODON_03305956,FOODON_00001083
FOODON_03306047,FOODON_00001083
FOODON_03306049,FOODON_00001083
FOODON_03306070,FOODON_00001083
FOODON_03306071,FOODON_00001083
FOODON_03306072,FOODON_00001083
FOODON_03306078,FOODON_00001083
FOODON_03306079,FOODON_00001083
FOODON_03306322,FOODON_00001083
FOODON_03307720,FOODON_00001083
FOODON_03316409,FOODON_00001083
240,FOODON_00001083
2321,FOODON_00001083
1853,FOODON_00001083
2340,FOODON_00001083
FOODON_00002293,FOODON_00001083
1790,FOODON_00001083
1988,FOODON_00001083
1651,FOODON_00001083
659,FOODON_00001083
54,FOODON_00001083
222,FOODON_00001083
2242,FOODON_00001083
2444,FOODON_00001083
705,FOODON_00001083
FOODON_00002288,FOODON_00001083
541,FOODON_00001083
492,FOODON_00001083
1218,FOODON_00001083
FOODON_00001848,FOODON_00001083
1756,FOODON_00001083
FOODON_03305542,1431
FOODON_03305542,233
FOODON_03305542,2120
FOODON_03307373,1431
FOODON_03307373,233
FOODON_03307373,2120
FOODON_03317220,1431
FOODON_03317220,233
FOODON_03317220,2120
FOODON_03305541,1431
FOODON_03305541,233
FOODON_03305541,2120
FOODON_03305867,FOODON_00001978
FOODON_03305876,FOODON_00001978
FOODON_03305887,FOODON_00001978
FOODON_03305894,FOODON_00001978
FOODON_03305956,FOODON_00001978
FOODON_03306047,FOODON_00001978
FOODON_03306049,FOODON_00001978
FOODON_03306070,FOODON_00001978
FOODON_03306071,FOODON_00001978
FOODON_03306072,FOODON_00001978
FOODON_03306078,FOODON_00001978
FOODON_03306079,FOODON_00001978
FOODON_03306322,FOODON_00001978
240,FOODON_00001978
1853,FOODON_00001978
1651,FOODON_00001978
659,FOODON_00001978
54,FOODON_00001978
222,FOODON_00001978
2242,FOODON_00001978
2444,FOODON_00001978
705,FOODON_00001978
FOODON_03306197,FOODON_00002313
FOODON_03306261,FOODON_03301672
FOODON_03306646,541
FOODON_03306646,492
FOODON_03306646,1218
FOODON_03306647,FOODON_00001610
2409,FOODON_00001610
FOODON_03306667,FOODON_03302676
FOODON_03306667,FOODON_03304706
FOODON_03307278,FOODON_03303903
FOODON_03307300,FOODON_00001580
FOODON_00001630,FOODON_00001580
FOODON_00001921,FOODON_00001580
